slice,function,round_b,round_c,delta
bzip2::O0::bzip2,BZ2_blockSort,0.5455,0.6364,0.0909
bzip2::O0::bzip2,BZ2_bzWriteClose,0.2,0.8,0.6
bzip2::O0::bzip2,BZ2_bzdopen,0.5,1.0,0.5
bzip2::O0::bzip2,BZ2_bzopen,0.0,1.0,1.0
bzip2::O0::bzip2,compress,0.8571,1.0,0.1429
bzip2::O0::bzip2,panic,0.0,1.0,1.0
bzip2::O0::bzip2,redundant,0.0,1.0,1.0
bzip2::O0::bzip2,testf,0.75,1.0,0.25
bzip2::O0::bzip2,uncompress,0.9,1.0,0.1
bzip2::O0::bzip2,usage,0.0,1.0,1.0
bzip2::O2-noinline::bzip2,BZ2_bzdopen,0.5,1.0,0.5
bzip2::O2-noinline::bzip2,BZ2_bzopen,0.0,1.0,1.0
bzip2::O2-noinline::bzip2,panic,0.0,0.5,0.5
bzip2::O2-noinline::bzip2,redundant,0.0,0.5,0.5
bzip2::O2-noinline::bzip2,testf,0.0909,0.1818,0.0909
bzip2::O2-noinline::bzip2,uncompress,0.0345,0.069,0.0345
bzip2::O2-noinline::bzip2,usage,0.0,0.3333,0.3333
bzip2::O2::bzip2,BZ2_bzdopen,0.5,1.0,0.5
bzip2::O2::bzip2,BZ2_bzopen,0.0,1.0,1.0
bzip2::O2::bzip2,compressStream,0.3333,0.3704,0.037
bzip2::O2::bzip2,panic,0.0,0.5,0.5
bzip2::O2::bzip2,redundant,0.0,0.5,0.5
bzip2::O2::bzip2,testf,0.0667,0.1333,0.0667
bzip2::O2::bzip2,usage,0.0,0.3333,0.3333
coreutils::O0::basename,perform_basename,0.25,0.75,0.5
coreutils::O0::cat,main,0.6923,0.7308,0.0385
coreutils::O0::chcon,change_file_context,0.75,0.875,0.125
coreutils::O0::chgrp,describe_change,0.2222,0.6667,0.4444
coreutils::O0::chown,describe_change,0.2222,0.6667,0.4444
coreutils::O0::chown,main,0.6111,0.6667,0.0556
coreutils::O0::chroot,main,0.7308,0.7692,0.0385
coreutils::O0::chroot,parse_additional_groups,0.75,0.8333,0.0833
coreutils::O0::cksum,output_crc,0.375,0.5,0.125
coreutils::O0::cp,computecon,0.4444,0.5556,0.1111
coreutils::O0::cp,copy_dir,0.25,0.3,0.05
coreutils::O0::cp,copy_internal,0.5714,0.6032,0.0317
coreutils::O0::cp,copy_reg,0.6857,0.7143,0.0286
coreutils::O0::cp,create_hard_link,0.2727,0.3636,0.0909
coreutils::O0::cp,decode_preserve_arg,0.3333,0.4444,0.1111
coreutils::O0::cp,dir_name,0.0,0.5,0.5
coreutils::O0::cp,do_copy,0.5312,0.625,0.0938
coreutils::O0::cp,remember_copied,0.4,0.6,0.2
coreutils::O0::cp,set_file_security_ctx,0.6,0.8,0.2
coreutils::O0::cp,set_process_security_ctx,0.5,0.625,0.125
coreutils::O0::date,batch_convert,0.6,0.8,0.2
coreutils::O0::dd,ifd_reopen,0.8,1.0,0.2
coreutils::O0::dd,operand_is,0.0,1.0,1.0
coreutils::O0::df,decode_output_arg,0.5714,0.7143,0.1429
coreutils::O0::df,dir_name,0.0,0.5,0.5
coreutils::O0::df,get_dev,0.6,0.6667,0.0667
coreutils::O0::df,get_entry,0.0,0.5,0.5
coreutils::O0::df,get_header,0.6923,0.8462,0.1538
coreutils::O0::dir,align_nstrftime,0.2857,0.5714,0.2857
coreutils::O0::dir,basename_is_dot_or_dotdot,0.0,0.5,0.5
coreutils::O0::dir,decode_line_length,0.5,1.0,0.5
coreutils::O0::dir,extract_dirs_from_files,0.5,0.625,0.125
coreutils::O0::dir,format_user_or_group,0.8,1.0,0.2
coreutils::O0::dir,format_user_or_group_width,0.6667,1.0,0.3333
coreutils::O0::dir,get_link_name,0.3333,0.6667,0.3333
coreutils::O0::dir,print_dir,0.5714,0.6429,0.0714
coreutils::O0::dir,queue_directory,0.25,0.75,0.5
coreutils::O0::dir,quote_name,0.4286,0.5714,0.1429
