slice,function,round_d,round_e,delta
coreutils::O0::dir,print_name_with_quoting,0.375,0.5,0.125
coreutils::O0::dir,push_current_dired_pos,0.25,0.5,0.25
coreutils::O0::dir,quote_name,0.5714,0.6429,0.0714
coreutils::O0::ls,print_name_with_quoting,0.375,0.5,0.125
coreutils::O0::ls,push_current_dired_pos,0.25,0.5,0.25
coreutils::O0::ls,quote_name,0.5714,0.6429,0.0714
coreutils::O0::nl,build_type_arg,0.0,0.2,0.2
coreutils::O0::od,decode_one_format,0.5714,0.6429,0.0714
coreutils::O0::pinky,print_long_entry,0.4286,0.2143,-0.2143
coreutils::O0::stat,do_statfs,0.75,1.0,0.25
coreutils::O0::stty,display_speed,0.0,0.5,0.5
coreutils::O0::stty,set_speed,0.75,1.0,0.25
coreutils::O0::tail,fremote,0.5,0.6667,0.1667
coreutils::O0::vdir,print_name_with_quoting,0.375,0.5,0.125
coreutils::O0::vdir,push_current_dired_pos,0.25,0.5,0.25
coreutils::O0::vdir,quote_name,0.5714,0.6429,0.0714
coreutils::O2-noinline::cksum,cksum_pclmul,0.1304,0.1739,0.0435
coreutils::O2-noinline::cksum,cksum_slice8,0.125,0.1875,0.0625
coreutils::O2-noinline::dir,print_name_with_quoting,0.125,0.25,0.125
coreutils::O2-noinline::dir,push_current_dired_pos,0.0,0.25,0.25
coreutils::O2-noinline::dir,quote_name,0.3571,0.4286,0.0714
coreutils::O2-noinline::ls,print_name_with_quoting,0.125,0.25,0.125
coreutils::O2-noinline::ls,push_current_dired_pos,0.0,0.25,0.25
coreutils::O2-noinline::ls,quote_name,0.3571,0.4286,0.0714
coreutils::O2-noinline::nl,build_type_arg,0.0,0.25,0.25
coreutils::O2-noinline::stat,do_statfs,0.5,0.75,0.25
coreutils::O2-noinline::stty,display_speed,0.5,1.0,0.5
coreutils::O2-noinline::stty,set_speed,0.5,0.75,0.25
coreutils::O2-noinline::tail,fremote,0.1667,0.5,0.3333
coreutils::O2-noinline::vdir,print_name_with_quoting,0.125,0.25,0.125
coreutils::O2-noinline::vdir,push_current_dired_pos,0.0,0.25,0.25
coreutils::O2-noinline::vdir,quote_name,0.3571,0.4286,0.0714
coreutils::O2::cksum,cksum_pclmul,0.1304,0.1739,0.0435
coreutils::O2::date,main,0.2432,0.2703,0.027
coreutils::O2::dir,print_name_with_quoting,0.1176,0.1765,0.0588
coreutils::O2::dir,quote_name,0.2632,0.3158,0.0526
coreutils::O2::dircolors,dc_parse_stream,0.3333,0.4,0.0667
coreutils::O2::ls,print_name_with_quoting,0.1176,0.1765,0.0588
coreutils::O2::ls,quote_name,0.2632,0.3158,0.0526
coreutils::O2::nl,build_type_arg,0.0,0.25,0.25
coreutils::O2::sort,fillbuf,0.2632,0.3158,0.0526
coreutils::O2::stty,apply_settings,0.2143,0.2857,0.0714
coreutils::O2::stty,display_speed,0.125,0.25,0.125
coreutils::O2::tail,fremote,0.1667,0.5,0.3333
coreutils::O2::vdir,print_name_with_quoting,0.1176,0.1765,0.0588
coreutils::O2::vdir,quote_name,0.2632,0.3158,0.0526
findutils::O0::find,insert_regex,0.5,0.625,0.125
grep::O0::grep,EGexecute,0.3448,0.6897,0.3448
grep::O0::grep,regex_compile,0.6154,0.6923,0.0769
grep::O0::grep,setup_ok_fold,0.5714,0.7143,0.1429
grep::O2-noinline::grep,EGexecute,0.2857,0.5,0.2143
grep::O2-noinline::grep,regex_compile,0.4167,0.5,0.0833
grep::O2-noinline::grep,setup_ok_fold,0.0,0.1429,0.1429
grep::O2::grep,EGexecute,0.2857,0.5,0.2143
grep::O2::grep,main,0.1795,0.1923,0.0128
grep::O2::grep,regex_compile,0.4167,0.5,0.0833
shadow::O0::logoutd,main,0.6364,0.7273,0.0909
shadow::O0::newgrp,find_matching_group,0.6667,1.0,0.3333
shadow::O2-noinline::newgrp,find_matching_group,0.3333,0.6667,0.3333
tar::O0::tar,obstack_code_rename,0.2857,0.3571,0.0714
tar::O0::tar,read_incr_db_2,0.3125,0.5625,0.25
tar::O0::tar,read_obstack,0.4444,0.5556,0.1111
tar::O0::tar,store_rename,0.1,0.2,0.1
tar::O0::tar,tar_list_quoting_styles,0.4167,0.5,0.0833
tar::O2-noinline::tar,obstack_code_rename,0.1429,0.2143,0.0714
tar::O2-noinline::tar,read_obstack,0.2222,0.3333,0.1111
tar::O2-noinline::tar,store_rename,0.0,0.1,0.1
tar::O2::tar,confirm,0.2727,0.3636,0.0909
tar::O2::tar,obstack_code_rename,0.1429,0.2143,0.0714
tar::O2::tar,read_obstack,0.1818,0.2727,0.0909
tar::O2::tar,sys_exec_info_script,0.3636,0.4545,0.0909
