slice,function,round_e,round_f,delta
bzip2::O0::bzip2,addFlagsFromEnvVar,0.7143,0.8571,0.1429
bzip2::O0::bzip2,default_bzalloc,0.5,0.75,0.25
bzip2::O0::bzip2,fileExists,0.6667,1.0,0.3333
bzip2::O0::bzip2,fopen_output_safely,0.75,1.0,0.25
bzip2::O0::bzip2,myMalloc,0.5,1.0,0.5
bzip2::O0::bzip2recover,main,0.8333,0.8889,0.0556
coreutils::O0::[,binary_operator,0.619,0.7143,0.0952
coreutils::O0::[,unary_operator,0.6667,0.7778,0.1111
coreutils::O0::basename,perform_basename,0.75,1.0,0.25
coreutils::O0::cat,main,0.7308,0.7692,0.0385
coreutils::O0::chcon,compute_context_from_mask,0.4,0.6,0.2
coreutils::O0::chcon,process_file,0.1429,0.4286,0.2857
coreutils::O0::chgrp,change_file_owner,0.5455,0.6364,0.0909
coreutils::O0::chgrp,describe_change,0.6667,0.7778,0.1111
coreutils::O0::chgrp,gid_to_name,0.5,1.0,0.5
coreutils::O0::chgrp,main,0.75,0.8333,0.0833
coreutils::O0::chgrp,uid_to_name,0.5,1.0,0.5
coreutils::O0::chmod,describe_change,0.625,0.875,0.25
coreutils::O0::chmod,mode_changed,0.8333,1.0,0.1667
coreutils::O0::chmod,process_file,0.3,0.5,0.2
coreutils::O0::chown,change_file_owner,0.5455,0.6364,0.0909
coreutils::O0::chown,describe_change,0.6667,0.7778,0.1111
coreutils::O0::chown,gid_to_name,0.5,1.0,0.5
coreutils::O0::chown,uid_to_name,0.5,1.0,0.5
coreutils::O0::chroot,is_root,0.6667,1.0,0.3333
coreutils::O0::cp,abandon_move,0.1667,0.3333,0.1667
coreutils::O0::cp,copy,0.3,0.4,0.1
coreutils::O0::cp,copy_attr_quote,0.0,0.5,0.5
coreutils::O0::cp,copy_internal,0.6032,0.6508,0.0476
coreutils::O0::cp,create_hard_link,0.3636,0.6364,0.2727
coreutils::O0::cp,create_hole,0.8,1.0,0.2
coreutils::O0::cp,decode_preserve_arg,0.4444,0.5556,0.1111
coreutils::O0::cp,emit_verbose,0.0,1.0,1.0
coreutils::O0::cp,lseek_copy,0.7,0.8,0.1
coreutils::O0::cp,overwrite_ok,0.3333,0.5,0.1667
coreutils::O0::cp,same_file_ok,0.8125,0.875,0.0625
coreutils::O0::cp,set_owner,0.6471,0.7059,0.0588
coreutils::O0::cp,set_process_security_ctx,0.625,0.75,0.125
coreutils::O0::cp,source_is_dst_backup,0.7273,0.9091,0.1818
coreutils::O0::cp,sparse_copy,0.625,0.7083,0.0833
coreutils::O0::csplit,check_for_offset,0.0,0.3333,0.3333
coreutils::O0::csplit,extract_regexp,0.625,0.75,0.125
coreutils::O0::cut,set_fields,0.8462,0.9231,0.0769
coreutils::O0::date,main,0.6,0.72,0.12
coreutils::O0::dd,cache_round,0.5,0.6667,0.1667
coreutils::O0::dd,parse_symbols,0.5,0.625,0.125
coreutils::O0::dd,print_xfer_stats,0.5,0.6429,0.1429
coreutils::O0::dd,set_fd_flags,0.7143,0.8571,0.1429
coreutils::O0::dd,skip,0.7,0.8,0.1
coreutils::O0::df,get_device,0.5714,0.8571,0.2857
coreutils::O0::df,get_point,0.5,0.7,0.2
coreutils::O0::df,last_device_for_mount,0.2,0.6,0.4
coreutils::O0::dir,abformat_init,0.5556,0.7778,0.2222
coreutils::O0::dir,align_nstrftime,0.5714,0.7143,0.1429
coreutils::O0::dir,basename_is_dot_or_dotdot,0.5,1.0,0.5
