slice,function,round_f,round_g,delta
bzip2::O0::bzip2,applySavedTimeInfoToOutputFile,0.3333,0.6667,0.3333
bzip2::O0::bzip2,uInt64_toAscii,0.4286,0.5714,0.1429
coreutils::O0::chroot,main,0.7692,0.9231,0.1538
coreutils::O0::cp,abandon_move,0.3333,0.5,0.1667
coreutils::O0::cp,computecon,0.5556,1.0,0.4444
coreutils::O0::cp,defaultcon,0.4167,0.6667,0.25
coreutils::O0::cp,fchmod_or_lchmod,0.75,1.0,0.25
coreutils::O0::cp,force_linkat,0.4545,0.6364,0.1818
coreutils::O0::cp,force_symlinkat,0.3333,0.5556,0.2222
coreutils::O0::cp,main,0.5833,0.9167,0.3333
coreutils::O0::cp,make_dir_parents_private,0.72,0.68,-0.04
coreutils::O0::cp,overwrite_ok,0.5,0.6667,0.1667
coreutils::O0::cp,re_protect,0.3846,0.4615,0.0769
coreutils::O0::cp,restorecon_private,0.4615,0.6923,0.2308
coreutils::O0::cp,samedir_template,0.4,0.8,0.4
coreutils::O0::cp,set_owner,0.7059,0.7647,0.0588
coreutils::O0::cp,set_process_security_ctx,0.75,0.875,0.125
coreutils::O0::cp,try_link,0.0,0.3333,0.3333
coreutils::O0::cp,try_symlink,0.0,0.3333,0.3333
coreutils::O0::cp,writable_destination,0.6667,1.0,0.3333
coreutils::O0::csplit,get_format_flags,0.75,1.0,0.25
coreutils::O0::df,replace_problematic_chars,0.0,0.5,0.5
coreutils::O0::dir,dired_outbuf,0.5,1.0,0.5
coreutils::O0::dir,do_lstat,0.0,0.5,0.5
coreutils::O0::dir,do_stat,0.0,0.5,0.5
coreutils::O0::dir,do_statx,0.625,0.75,0.125
coreutils::O0::dir,file_has_acl_cache,0.25,0.5,0.25
coreutils::O0::dir,getfilecon_cache,0.4,0.6,0.2
coreutils::O0::dir,gobble_file,0.697,0.6061,-0.0909
coreutils::O0::dir,has_capability_cache,0.25,0.5,0.25
coreutils::O0::dir,stat_for_ino,0.0,0.5,0.5
coreutils::O0::dir,stat_for_mode,0.0,0.5,0.5
