slice,function,round_g,round_i,delta
coreutils::O0::cp,copy_attr,0.4444,0.6667,0.2222
coreutils::O0::cp,copy_dir,0.3,0.45,0.15
coreutils::O0::csplit,parse_patterns,0.5,0.625,0.125
coreutils::O0::dir,abmon_init,0.875,1.0,0.125
coreutils::O0::dir,quote_name_buf,0.875,0.9167,0.0417
coreutils::O0::dircolors,parse_line,0.3333,0.6667,0.3333
coreutils::O0::ginstall,copy_attr,0.4444,0.6667,0.2222
coreutils::O0::ginstall,copy_dir,0.3,0.45,0.15
coreutils::O0::ginstall,strip,0.5,0.75,0.25
coreutils::O0::ls,abmon_init,0.875,1.0,0.125
coreutils::O0::ls,quote_name_buf,0.875,0.9167,0.0417
coreutils::O0::mv,copy_attr,0.4444,0.6667,0.2222
coreutils::O0::mv,copy_dir,0.3,0.45,0.15
coreutils::O0::stat,print_it,0.7333,0.8,0.0667
coreutils::O0::tail,parse_obsolete_option,0.9231,1.0,0.0769
coreutils::O0::vdir,abmon_init,0.875,1.0,0.125
coreutils::O0::vdir,quote_name_buf,0.875,0.9167,0.0417
coreutils::O0::wc,get_input_fstatus,0.5,0.75,0.25
coreutils::O2-noinline::cp,copy_attr,0.125,0.375,0.25
coreutils::O2-noinline::cp,copy_dir,0.2,0.25,0.05
coreutils::O2-noinline::csplit,parse_patterns,0.375,0.5,0.125
coreutils::O2-noinline::date,batch_convert,0.4,0.5,0.1
coreutils::O2-noinline::dd,scanargs,0.5263,0.5789,0.0526
coreutils::O2-noinline::dir,abmon_init,0.125,0.25,0.125
coreutils::O2-noinline::dircolors,parse_line,0.25,0.75,0.5
coreutils::O2-noinline::ginstall,copy_attr,0.125,0.375,0.25
coreutils::O2-noinline::ginstall,copy_dir,0.2,0.25,0.05
coreutils::O2-noinline::ginstall,strip,0.3333,0.6667,0.3333
coreutils::O2-noinline::ls,abmon_init,0.125,0.25,0.125
coreutils::O2-noinline::mv,copy_attr,0.125,0.375,0.25
coreutils::O2-noinline::mv,copy_dir,0.2,0.25,0.05
coreutils::O2-noinline::numfmt,next_field,0.0,0.3333,0.3333
coreutils::O2-noinline::od,decode_one_format,0.1818,0.2273,0.0455
coreutils::O2-noinline::pinky,scan_entries,0.4,0.6,0.2
coreutils::O2-noinline::shuf,input_from_argv,0.2857,0.4286,0.1429
coreutils::O2-noinline::stat,make_format,0.4444,0.5556,0.1111
coreutils::O2-noinline::stat,print_it,0.1333,0.2,0.0667
coreutils::O2-noinline::stty,apply_settings,0.2143,0.2857,0.0714
coreutils::O2-noinline::tail,parse_obsolete_option,0.1538,0.2308,0.0769
coreutils::O2-noinline::tee,tee_files,0.1429,0.2143,0.0714
coreutils::O2-noinline::vdir,abmon_init,0.125,0.25,0.125
coreutils::O2-noinline::wc,get_input_fstatus,0.25,0.5,0.25
coreutils::O2::cp,do_copy,0.1875,0.25,0.0625
coreutils::O2::stat,print_it,0.1053,0.1579,0.0526
diffutils::O0::diff3,process_diff_control,0.5,0.75,0.25
diffutils::O0::sdiff,interact,0.6667,0.8,0.1333
diffutils::O2-noinline::diff,option_list,0.1667,0.3333,0.1667
diffutils::O2-noinline::diff3,read_diff,0.4375,0.5,0.0625
findutils::O0::find,do_time_format,0.75,0.8125,0.0625
findutils::O0::find,insert_exec_ok,0.5789,0.6316,0.0526
findutils::O0::find,process_all_startpoints,0.7333,0.8,0.0667
findutils::O0::find,process_leading_options,0.75,1.0,0.25
findutils::O2-noinline::find,do_time_format,0.3158,0.3684,0.0526
findutils::O2-noinline::find,process_all_startpoints,0.3333,0.4,0.0667
findutils::O2-noinline::find,process_leading_options,0.25,0.5,0.25
findutils::O2::find,build_expression_tree,0.1765,0.2353,0.0588
findutils::O2::find,process_all_startpoints,0.3333,0.4,0.0667
findutils::O2::find,process_leading_options,0.2143,0.2857,0.0714
grep::O0::grep,grepbuf,0.3,1.0,0.7
grep::O2-noinline::grep,jit_exec,0.4545,0.5455,0.0909
grep::O2::grep,update_patterns,0.2308,0.3077,0.0769
shadow::O0::login,get_pam_user,0.5,0.6667,0.1667
shadow::O0::su,save_caller_context,0.25,0.5,0.25
shadow::O2-noinline::grpck,compare_members_lists,0.0,0.125,0.125
shadow::O2::grpck,compare_members_lists,0.0,0.25,0.25
tar::O2-noinline::tar,decode_timespec,0.1667,0.25,0.0833
tar::O2-noinline::tar,get_date_or_file,0.3333,0.5,0.1667
tar::O2::tar,get_date_or_file,0.3333,0.5,0.1667
tar::O2::tar,xattrs_mask_add,0.25,0.5,0.25
