direction,slice,function,base,test
onto,bzip2::O0::bzip2,cleanUpAndFail,0.6666666666666666,1.0
onto,bzip2::O0::bzip2,countHardLinks,0.6666666666666666,1.0
onto,bzip2::O0::bzip2,myfeof,0.5,1.0
onto,bzip2::O0::bzip2,notAStandardFile,0.6666666666666666,1.0
onto,coreutils::O0::[,advance,0.0,1.0
onto,coreutils::O0::[,three_arguments,0.0,1.0
onto,coreutils::O0::[,two_arguments,0.0,1.0
onto,coreutils::O0::chgrp,parse_group,0.75,1.0
onto,coreutils::O0::csplit,cleanup,0.0,1.0
onto,coreutils::O0::csplit,create_output_file,0.75,1.0
onto,coreutils::O0::cut,cut_bytes,0.75,1.0
onto,coreutils::O0::dd,ifstat,0.6666666666666666,1.0
onto,coreutils::O0::dd,process_signals,0.6666666666666666,1.0
onto,coreutils::O0::df,automount_stat_err,0.75,1.0
onto,coreutils::O0::dir,get_type_indicator,0.75,1.0
onto,coreutils::O0::dir,print_type_indicator,0.75,1.0
onto,coreutils::O0::dir,process_signals,0.6666666666666666,1.0
onto,coreutils::O0::dir,set_exit_status,0.0,1.0
onto,coreutils::O0::echo,main,0.9090909090909091,1.0
onto,coreutils::O0::false,main,0.5,1.0
onto,coreutils::O0::fmt,copy_rest,0.6666666666666666,1.0
onto,coreutils::O0::fmt,get_prefix,0.75,1.0
onto,coreutils::O0::fmt,get_space,0.5,1.0
onto,coreutils::O0::fmt,set_other_indent,0.0,1.0
onto,coreutils::O0::getlimits,main,0.6666666666666666,1.0
onto,coreutils::O0::groups,print_group,0.4,1.0
onto,coreutils::O0::head,head_file,0.7142857142857143,1.0
onto,coreutils::O0::id,main,0.9166666666666666,1.0
onto,coreutils::O0::id,print_group,0.4,1.0
onto,coreutils::O0::id,print_user,0.6666666666666666,1.0
onto,coreutils::O0::libstdbuf,apply_mode,0.8333333333333334,1.0
onto,coreutils::O0::link,main,0.5,1.0
onto,coreutils::O0::ls,get_type_indicator,0.75,1.0
onto,coreutils::O0::ls,print_type_indicator,0.75,1.0
onto,coreutils::O0::ls,process_signals,0.6666666666666666,1.0
onto,coreutils::O0::ls,set_exit_status,0.0,1.0
onto,coreutils::O0::mv,cache_fstatat,0.75,1.0
onto,coreutils::O0::nice,main,0.9230769230769231,1.0
onto,coreutils::O0::nl,nl_file,0.6666666666666666,1.0
onto,coreutils::O0::od,open_next_file,0.0,1.0
onto,coreutils::O0::pathchk,main,0.6666666666666666,1.0
onto,coreutils::O0::realpath,isdir,0.5,1.0
onto,coreutils::O0::rm,cache_fstatat,0.75,1.0
onto,coreutils::O0::shred,direct_mode,0.75,1.0
onto,coreutils::O0::shuf,input_size,0.6666666666666666,1.0
onto,coreutils::O0::sleep,main,0.8571428571428571,1.0
onto,coreutils::O0::sync,sync_arg,0.875,1.0
onto,coreutils::O0::test,advance,0.0,1.0
