direction,slice,function,base,test
off,coreutils::O0::chgrp,describe_change,1.0,0.7777777777777778
off,coreutils::O0::chown,describe_change,1.0,0.7777777777777778
off,coreutils::O0::sort,xfopen,1.0,0.6666666666666666
off,shadow::O0::groupdel,group_busy,1.0,0.5
off,shadow::O0::groupdel,main,1.0,0.6666666666666666
off,shadow::O0::groupmod,main,1.0,0.6666666666666666
better,coreutils::O2::who,who,0.23076923076923078,0.3076923076923077
better,coreutils::O2-noinline::pwd,file_name_prepend,0.1,0.2
worse,coreutils::O0::chown,main,0.7222222222222222,0.6666666666666666
worse,coreutils::O0::factor,lbuf_putint,0.8333333333333334,0.6666666666666666
worse,coreutils::O0::pwd,find_dir_entry,0.8333333333333334,0.75
worse,coreutils::O0::tr,append_range,0.5714285714285714,0.2857142857142857
worse,coreutils::O0::tail,xlseek,0.8571428571428571,0.7142857142857143
worse,coreutils::O0::users,list_entries_users,0.7142857142857143,0.5714285714285714
worse,coreutils::O2::who,print_line,0.5217391304347826,0.43478260869565216
worse,diffutils::O0::cmp,cmp,0.6818181818181818,0.6590909090909091
worse,coreutils::O2-noinline::who,print_line,0.5217391304347826,0.43478260869565216
worse,gzip::O0::gzip,open_input_file,0.7,0.6
worse,shadow::O0::groupmod,update_primary_groups,0.6,0.4
worse,shadow::O0::userdel,remove_usergroup,0.6666666666666666,0.5
worse,shadow::O0::usermod,process_flags,0.75,0.5833333333333334
worse,shadow::O2::login,main,0.12345679012345678,0.1111111111111111
worse,shadow::O2-noinline::login,main,0.14925373134328357,0.13432835820895522
worse,tar::O0::tar,attach_directory,0.6666666666666666,0.3333333333333333
worse,tar::O0::tar,find_directory,0.5,0.25
