direction,opt,project,binary,function,arch,ged_base,ged_var,src_nodes,approximated
to_perfect,O0,base-passwd,update-passwd,copy_filemodes,x86-64,5.0,0.0,14,False
improved,O0,bash,bash,_evalfile,x86-64,55.0,54.0,136,True
worsened,O0,bash,bash,_hs_at_end_of_history,x86-64,10.0,12.0,3,False
worsened,O0,bash,bash,_hs_replace_history_data,x86-64,17.0,21.0,25,False
worsened,O0,bash,bash,_ignore_completion_names,x86-64,5.0,16.0,33,False
worsened,O0,bash,bash,_is_arithop,x86-64,35.0,37.0,4,False
worsened,O0,bash,bash,_path_isdir,x86-64,10.0,12.0,3,False
improved,O0,bash,bash,_rl_clear_screen,x86-64,9.0,7.0,4,False
improved,O0,bash,bash,_rl_compare_chars,x86-64,9.0,5.0,14,False
improved,O0,bash,bash,_rl_control_keypad,x86-64,9.0,7.0,4,False
worsened,O0,bash,bash,_rl_digit_p,x86-64,10.0,12.0,3,False
improved,O0,bash,bash,_rl_disable_meta_key,x86-64,15.0,5.0,2,False
improved,O0,bash,bash,_rl_enable_meta_key,x86-64,9.0,5.0,2,False
improved,O0,bash,bash,_rl_function_of_keyseq_internal,x86-64,4.0,2.0,27,False
improved,O0,bash,bash,_rl_internal_char_cleanup,x86-64,13.0,5.0,21,False
improved,O0,bash,bash,_rl_isearch_dispatch,x86-64,21.0,15.0,305,True
improved,O0,bash,bash,_rl_move_vert,x86-64,12.0,6.0,15,False
improved,O0,bash,bash,_rl_parse_colors,x86-64,28.0,27.0,54,True
worsened,O0,bash,bash,_rl_peek_macro_key,x86-64,8.0,13.0,13,False
improved,O0,bash,bash,_rl_region_color_off,x86-64,9.0,5.0,2,False
improved,O0,bash,bash,_rl_region_color_on,x86-64,9.0,5.0,2,False
worsened,O0,bash,bash,_rl_release_sigint,x86-64,4.0,6.0,5,False
to_perfect,O0,bash,bash,_rl_reset_region_color,x86-64,13.0,0.0,12,False
improved,O0,bash,bash,_rl_rubout_char,x86-64,15.0,5.0,14,False
improved,O0,bash,bash,_rl_set_cursor,x86-64,15.0,12.0,6,False
to_perfect,O0,bash,bash,_rl_set_mark_at_pos,x86-64,2.0,0.0,5,False
improved,O0,bash,bash,_rl_standout_off,x86-64,9.0,5.0,2,False
improved,O0,bash,bash,_rl_standout_on,x86-64,9.0,5.0,2,False
improved,O0,bash,bash,_rl_test_nonzero,x86-64,14.0,6.0,7,False
improved,O0,bash,bash,_rl_utf8_mblen,x86-64,32.0,10.0,52,False
to_perfect,O0,bash,bash,_rl_vi_change_char,x86-64,2.0,0.0,16,False
worsened,O0,bash,bash,_rl_vi_change_mbchar_case,x86-64,7.0,9.0,24,False
worsened,O0,bash,bash,_rl_vi_motion_command,x86-64,10.0,12.0,3,False
worsened,O0,bash,bash,_rl_vi_textmod_command,x86-64,10.0,12.0,3,False
improved,O0,bash,bash,_rl_walphabetic,x86-64,6.0,5.0,5,False
improved,O0,bash,bash,absolute_pathname,x86-64,13.0,2.0,21,False
worsened,O0,bash,bash,add_history_time,x86-64,2.0,6.0,7,False
improved,O0,bash,mksyntax,addcstr,x86-64,13.0,3.0,6,False
improved,O0,bash,bash,all_aliases,x86-64,7.0,5.0,8,False
worsened,O0,bash,bash,all_variables_matching_prefix,x86-64,7.0,9.0,28,False
worsened,O0,bash,bash,and,x86-64,8.0,14.0,13,False
improved,O0,bash,bash,ansic_quote,x86-64,14.0,12.0,46,False
improved,O0,bash,bash,ansicstr,x86-64,8.0,7.0,145,True
improved,O0,bash,bash,array_dequote,x86-64,11.0,7.0,13,False
improved,O0,bash,bash,array_dequote_escapes,x86-64,11.0,7.0,13,False
improved,O0,bash,bash,array_keys,x86-64,9.0,7.0,22,False
improved,O0,bash,bash,array_keys_to_word_list,x86-64,5.0,3.0,12,False
improved,O0,bash,bash,array_length_reference,x86-64,3.0,1.0,69,True
improved,O0,bash,bash,array_modcase,x86-64,14.0,10.0,15,False
improved,O0,bash,bash,array_patsub,x86-64,14.0,10.0,15,False
improved,O0,bash,bash,array_quote,x86-64,11.0,7.0,13,False
improved,O0,bash,bash,array_quote_escapes,x86-64,11.0,7.0,13,False
improved,O0,bash,bash,array_reference,x86-64,15.0,11.0,32,False
improved,O0,bash,bash,array_remove,x86-64,18.0,14.0,37,False
to_perfect,O0,bash,bash,array_remove_quoted_nulls,x86-64,4.0,0.0,10,False
worsened,O0,bash,bash,array_rshift,x86-64,5.0,11.0,16,False
improved,O0,bash,bash,array_shift,x86-64,7.0,3.0,27,False
improved,O0,bash,bash,array_subrange,x86-64,5.0,3.0,23,False
improved,O0,bash,bash,array_to_assign,x86-64,2.0,1.0,63,True
improved,O0,bash,bash,array_to_kvpair,x86-64,2.0,1.0,64,True
improved,O0,bash,bash,array_to_kvpair_list,x86-64,5.0,3.0,12,False
improved,O0,bash,bash,array_to_word_list,x86-64,5.0,3.0,12,False
improved,O0,bash,bash,array_value_internal,x86-64,24.0,15.0,121,True
improved,O0,bash,bash,assign_compound_array_list,x86-64,6.0,4.0,95,True
improved,O0,bash,bash,assoc_dequote,x86-64,12.0,10.0,18,False
improved,O0,bash,bash,assoc_dequote_escapes,x86-64,12.0,10.0,18,False
improved,O0,bash,bash,assoc_modcase,x86-64,12.0,10.0,13,False
improved,O0,bash,bash,assoc_patsub,x86-64,12.0,10.0,13,False
improved,O0,bash,bash,assoc_quote,x86-64,12.0,10.0,18,False
improved,O0,bash,bash,assoc_quote_escapes,x86-64,12.0,10.0,18,False
improved,O0,bash,bash,assoc_remove_quoted_nulls,x86-64,7.0,5.0,15,False
improved,O0,bash,bash,assoc_to_assign,x86-64,9.0,8.0,82,True
improved,O0,bash,bash,assoc_to_kvpair,x86-64,9.0,8.0,83,True
improved,O0,bash,bash,assoc_to_kvpair_list,x86-64,10.0,8.0,19,False
improved,O0,bash,bash,assoc_to_word_list_internal,x86-64,10.0,8.0,22,False
improved,O0,bash,bash,bash_forward_shellword,x86-64,17.0,14.0,130,True
improved,O0,bash,bash,bash_history_inhibit_expansion,x86-64,17.0,15.0,42,False
worsened,O0,bash,bash,bcoalesce,x86-64,5.0,11.0,18,False
worsened,O0,bash,bash,bgp_clear,x86-64,2.0,6.0,5,False
improved,O0,bash,bash,bgp_delete,x86-64,5.0,3.0,15,False
improved,O0,bash,bash,bgp_search,x86-64,7.0,5.0,14,False
worsened,O0,bash,bash,binary_test,x86-64,46.0,47.0,54,True
improved,O0,bash,bash,bool_to_int,x86-64,16.0,12.0,9,False
worsened,O0,bash,bash,bsplit,x86-64,8.0,12.0,21,False
improved,O0,bash,bash,buffered_getchar,x86-64,11.0,9.0,13,False
worsened,O0,bash,bash,bufstream_ungetc,x86-64,4.0,8.0,7,False
improved,O0,bash,bash,builtin_address_internal,x86-64,9.0,5.0,16,False
improved,O0,bash,bash,builtin_error_prolog,x86-64,8.0,5.0,5,False
to_perfect,O0,bash,bash,can_optimize_assignment,x86-64,10.0,0.0,19,False
improved,O0,bash,bash,can_optimize_cat_file,x86-64,22.0,16.0,15,False
improved,O0,bash,bash,can_optimize_connection,x86-64,14.0,12.0,11,False
to_perfect,O0,bash,bash,change_flag,x86-64,2.0,0.0,26,False
to_perfect,O0,bash,bash,check_add_history,x86-64,7.0,0.0,10,False
to_perfect,O0,bash,bash,check_identifier,x86-64,5.0,0.0,8,False
improved,O0,bash,bash,check_redir,x86-64,4.0,3.0,19,False
improved,O0,bash,bash,chk_atstar,x86-64,27.0,4.0,44,False
to_perfect,O0,bash,bash,chkexport,x86-64,2.0,0.0,5,False
worsened,O0,bash,bash,cleanup_dead_jobs,x86-64,16.0,19.0,20,False
to_perfect,O0,bash,bash,clear_fifo_list,x86-64,8.0,0.0,7,False
worsened,O0,bash,bash,command_subst_completion_function,x86-64,29.0,32.0,48,False
improved,O0,bash,bash,command_substitute,x86-64,3.0,2.0,101,True
worsened,O0,bash,bash,command_word_completion_function,x86-64,8.0,11.0,170,True
improved,O0,bash,bash,complete_fncmp,x86-64,32.0,28.0,110,True
to_perfect,O0,bash,bash,cond_expand_word,x86-64,2.0,0.0,19,False
worsened,O0,bash,bash,current_history,x86-64,7.0,13.0,6,False
improved,O0,bash,bash,decode_signal,x86-64,23.0,22.0,68,True
improved,O0,bash,bash,delete_chars,x86-64,15.0,10.0,9,False
worsened,O0,bash,bash,delete_job,x86-64,14.0,16.0,34,False
improved,O0,bash,bash,displen,x86-64,16.0,14.0,12,False
worsened,O0,bash,bash,dispose_saved_dollar_vars,x86-64,2.0,12.0,5,False
improved,O0,bash,bash,do_assignment_internal,x86-64,15.0,14.0,69,True
improved,O0,bash,bash,do_redirection_internal,x86-64,27.0,14.0,294,True
worsened,O0,bash,bash,end_job_control,x86-64,5.0,8.0,10,False
