direction,slice,function,base,test
onto,betaflight::O2::betaflight_STM32F405,cliShowInvalidArgumentCountError,0.0,1.0
onto,betaflight::O2::betaflight_STM32F405,cliShowParseError,0.0,1.0
onto,betaflight::O2::betaflight_STM32F405,cliPrint,0.0,1.0
onto,betaflight::O2::betaflight_STM32F405,cliPrintLine,0.0,1.0
onto,betaflight::O2::betaflight_STM32F405,cliPrintHashLine,0.0,1.0
onto,betaflight::O2::betaflight_STM32F405,cliBatch,0.0,1.0
onto,betaflight::O2::betaflight_STM32F405,cliBeeper,0.0,1.0
onto,betaflight::O2::betaflight_STM32F405,cliBeacon,0.0,1.0
onto,betaflight::O2::betaflight_STM32F405,BL_SendBuf,0.5,1.0
better,freertos::O2::RTOSDemo,printf,0.0,0.5
better,mirai::O2::mirai,resolv_lookup,0.07407407407407407,0.1111111111111111
better,nuttx::O2::nuttx,devzero_read,0.16666666666666666,0.3333333333333333
better,nuttx::O2::nuttx,proc_findnode,0.0,0.3333333333333333
better,nuttx::O2::nuttx,mount_sprintf,0.0,0.2
better,nuttx::O2::nuttx,mountpoint_filter,0.0,0.09090909090909091
better,nuttx::O2::nuttx,builtin_loadbinary,0.1111111111111111,0.2222222222222222
better,nuttx::O2::nuttx,getopt_common,0.2,0.3
better,betaflight::O2::betaflight_STM32F405,read_mbr_sector,0.0,0.3333333333333333
better,betaflight::O2::betaflight_STM32F405,fill_dir_sector,0.14285714285714285,0.2857142857142857
better,betaflight::O2::betaflight_STM32F405,pgResetInstance,0.0,0.25
better,betaflight::O2::betaflight_STM32F405,cliPrintErrorVa,0.0,0.3333333333333333
better,betaflight::O2::betaflight_STM32F405,cliPrintErrorLinef,0.0,0.3333333333333333
better,betaflight::O2::betaflight_STM32F405,cliPrintCommandBatchWarning,0.0,0.5
better,betaflight::O2::betaflight_STM32F405,cliShowArgumentRangeError,0.5,0.75
better,betaflight::O2::betaflight_STM32F405,cliPrintError,0.0,0.3333333333333333
better,betaflight::O2::betaflight_STM32F405,cliParseSerialMode,0.0,0.5
better,betaflight::O2::betaflight_STM32F405,checkCommand,0.0,0.5
better,betaflight::O2::betaflight_STM32F405,cliPrintSectionHeading,0.3333333333333333,0.6666666666666666
better,betaflight::O2::betaflight_STM32F405,printVtxTableBand,0.2,0.3
better,betaflight::O2::betaflight_STM32F405,printVtxTablePowerValues,0.1111111111111111,0.2222222222222222
better,betaflight::O2::betaflight_STM32F405,printVtxTablePowerLabels,0.1111111111111111,0.2222222222222222
better,betaflight::O2::betaflight_STM32F405,printVtxTable,0.14285714285714285,0.2857142857142857
better,betaflight::O2::betaflight_STM32F405,cliVtxTable,0.0,0.06666666666666667
better,betaflight::O2::betaflight_STM32F405,printVtx,0.1111111111111111,0.2222222222222222
better,betaflight::O2::betaflight_STM32F405,cliVtx,0.09090909090909091,0.2727272727272727
better,betaflight::O2::betaflight_STM32F405,printTimer,0.07692307692307693,0.15384615384615385
better,betaflight::O2::betaflight_STM32F405,printServoMix,0.1111111111111111,0.2222222222222222
better,betaflight::O2::betaflight_STM32F405,printServo,0.0625,0.125
better,betaflight::O2::betaflight_STM32F405,cliServo,0.125,0.25
better,betaflight::O2::betaflight_STM32F405,printSerial,0.14285714285714285,0.2857142857142857
better,betaflight::O2::betaflight_STM32F405,cliSerial,0.0,0.2
better,betaflight::O2::betaflight_STM32F405,printRxRange,0.14285714285714285,0.2857142857142857
