direction,slice,function,base,test
onto,coreutils::O0::dd,ifd_reopen,0.8,1.0
onto,coreutils::O0::dd,operand_is,0.0,1.0
onto,bzip2::O2-noinline::bzip2,BZ2_bzopen,0.0,1.0
onto,bzip2::O2-noinline::bzip2,BZ2_bzdopen,0.5,1.0
onto,coreutils::O0::env,operand2sig,0.875,1.0
onto,bzip2::O2::bzip2,BZ2_bzopen,0.0,1.0
onto,bzip2::O2::bzip2,BZ2_bzdopen,0.5,1.0
onto,bzip2::O0::bzip2,compress,0.8571428571428571,1.0
onto,bzip2::O0::bzip2,uncompress,0.9,1.0
onto,bzip2::O0::bzip2,testf,0.75,1.0
onto,bzip2::O0::bzip2,BZ2_bzopen,0.0,1.0
onto,bzip2::O0::bzip2,BZ2_bzdopen,0.5,1.0
onto,coreutils::O0::head,head,0.8571428571428571,1.0
onto,coreutils::O0::head,string_to_integer,0.5,1.0
onto,coreutils::O0::dir,decode_line_length,0.5,1.0
onto,coreutils::O0::dir,format_user_or_group,0.8,1.0
onto,coreutils::O0::dir,format_user_or_group_width,0.6666666666666666,1.0
onto,coreutils::O0::kill,operand2sig,0.875,1.0
onto,coreutils::O0::nl,process_file,0.0,1.0
onto,coreutils::O0::numfmt,parse_human_number,0.4,1.0
onto,coreutils::O0::numfmt,process_line,0.8,1.0
onto,coreutils::O0::od,parse_old_offset,0.6666666666666666,1.0
onto,coreutils::O0::rmdir,ignorable_failure,0.5,1.0
onto,coreutils::O0::rm,write_protected_non_symlink,0.3333333333333333,1.0
onto,coreutils::O0::ls,decode_line_length,0.5,1.0
onto,coreutils::O0::ls,format_user_or_group,0.8,1.0
onto,coreutils::O0::ls,format_user_or_group_width,0.6666666666666666,1.0
onto,coreutils::O0::stdbuf,parse_size,0.75,1.0
onto,coreutils::O0::mv,write_protected_non_symlink,0.3333333333333333,1.0
onto,coreutils::O0::stty,integer_arg,0.5,1.0
onto,coreutils::O0::timeout,parse_duration,0.6666666666666666,1.0
onto,coreutils::O0::timeout,operand2sig,0.875,1.0
onto,coreutils::O0::sort,xfclose,0.5,1.0
onto,coreutils::O0::sort,specify_sort_size,0.8571428571428571,1.0
onto,coreutils::O0::sort,specify_nthreads,0.8,1.0
onto,coreutils::O0::tail,tail_bytes,0.8888888888888888,1.0
onto,coreutils::O0::tail,tail_lines,0.875,1.0
onto,coreutils::O0::tail,tail,0.75,1.0
onto,coreutils::O0::vdir,decode_line_length,0.5,1.0
onto,coreutils::O0::vdir,format_user_or_group,0.8,1.0
onto,coreutils::O0::vdir,format_user_or_group_width,0.6666666666666666,1.0
onto,coreutils::O2::head,diagnose_copy_fd_failure,0.5,1.0
onto,coreutils::O2::dir,decode_line_length,0.5,1.0
onto,coreutils::O2::ls,decode_line_length,0.5,1.0
onto,coreutils::O2::sort,badfieldspec,0.5,1.0
onto,coreutils::O2::sort,xfclose,0.5,1.0
onto,coreutils::O2-noinline::chmod,mode_changed,0.8333333333333334,1.0
onto,coreutils::O2::vdir,decode_line_length,0.5,1.0
onto,coreutils::O2-noinline::dir,decode_line_length,0.5,1.0
onto,coreutils::O2-noinline::dir,file_failure,0.6666666666666666,1.0
onto,coreutils::O2-noinline::head,string_to_integer,0.5,1.0
