direction,slice,function,base,test
onto,coreutils::O0::chmod,mode_changed,0.8333333333333334,1.0
onto,coreutils::O0::dircolors,dc_parse_stream,0.9333333333333333,1.0
onto,coreutils::O0::fmt,fmt,0.6666666666666666,1.0
onto,coreutils::O0::head,diagnose_copy_fd_failure,0.5,1.0
onto,coreutils::O0::cp,create_hole,0.8,1.0
onto,coreutils::O0::cp,emit_verbose,0.0,1.0
onto,coreutils::O0::dir,file_failure,0.6666666666666666,1.0
onto,coreutils::O0::numfmt,simple_strtod_fatal,0.6666666666666666,1.0
onto,coreutils::O0::ginstall,create_hole,0.8,1.0
onto,coreutils::O0::ginstall,emit_verbose,0.0,1.0
onto,coreutils::O0::ls,file_failure,0.6666666666666666,1.0
onto,coreutils::O0::stat,out_file_context,0.8,1.0
onto,coreutils::O0::sort,badfieldspec,0.5,1.0
onto,coreutils::O0::mv,create_hole,0.8,1.0
onto,coreutils::O0::mv,emit_verbose,0.0,1.0
onto,coreutils::O0::truncate,do_ftruncate,0.9166666666666666,1.0
onto,coreutils::O0::tail,close_fd,0.5,1.0
onto,coreutils::O0::vdir,file_failure,0.6666666666666666,1.0
onto,findutils::O0::find,safely_quote_err_filename,0.5,1.0
onto,findutils::O0::find,nonfatal_target_file_error,0.5,1.0
onto,findutils::O0::find,fatal_target_file_error,0.5,1.0
onto,findutils::O0::find,nonfatal_nontarget_file_error,0.5,1.0
onto,findutils::O0::find,fatal_nontarget_file_error,0.5,1.0
onto,findutils::O0::find,check_name_arg,0.3333333333333333,1.0
onto,tar::O0::tar,write_fatal_details,0.6666666666666666,1.0
onto,tar::O0::tar,exclusion_tag_warning,0.3333333333333333,1.0
onto,tar::O0::tar,gid_to_chars,0.6666666666666666,1.0
onto,tar::O0::tar,major_to_chars,0.6666666666666666,1.0
onto,tar::O0::tar,minor_to_chars,0.6666666666666666,1.0
onto,tar::O0::tar,mode_to_chars,0.8,1.0
onto,tar::O0::tar,off_to_chars,0.6666666666666666,1.0
onto,tar::O0::tar,time_to_chars,0.6666666666666666,1.0
onto,tar::O0::tar,uid_to_chars,0.6666666666666666,1.0
onto,tar::O0::tar,uintmax_to_chars,0.6666666666666666,1.0
onto,tar::O0::tar,unknown_file_error,0.0,1.0
onto,tar::O0::tar,quote_n_colon,0.5,1.0
onto,tar::O0::tar,close_diag,0.0,1.0
onto,tar::O0::tar,open_diag,0.0,1.0
onto,tar::O0::tar,read_diag_details,0.6666666666666666,1.0
onto,tar::O0::tar,readlink_diag,0.0,1.0
onto,tar::O0::tar,savedir_diag,0.0,1.0
onto,tar::O0::tar,seek_diag_details,0.5,1.0
onto,tar::O0::tar,stat_diag,0.0,1.0
onto,tar::O0::tar,xexec,0.5,1.0
onto,tar::O2-noinline::tar,off_to_chars,0.6666666666666666,1.0
onto,tar::O2-noinline::tar,time_to_chars,0.6666666666666666,1.0
better,coreutils::O0::chcon,compute_context_from_mask,0.4,0.6
better,coreutils::O0::chmod,describe_change,0.625,0.75
better,coreutils::O0::chgrp,describe_change,0.6666666666666666,0.7777777777777778
better,coreutils::O0::chown,describe_change,0.6666666666666666,0.7777777777777778
better,coreutils::O0::csplit,check_for_offset,0.0,0.3333333333333333
better,coreutils::O0::dd,skip,0.7,0.8
better,coreutils::O0::dd,set_fd_flags,0.7142857142857143,0.8571428571428571
better,coreutils::O0::head,elseek,0.6666666666666666,0.8333333333333334
better,coreutils::O0::head,elide_tail_bytes_pipe,0.8928571428571429,0.9285714285714286
better,coreutils::O0::head,elide_tail_bytes_file,0.7777777777777778,0.8888888888888888
better,coreutils::O0::head,elide_tail_lines_pipe,0.5,0.5625
better,coreutils::O0::head,elide_tail_lines_seekable,0.75,0.8333333333333334
better,coreutils::O0::head,elide_tail_lines_file,0.6666666666666666,0.8333333333333334
better,coreutils::O0::head,head_bytes,0.3333333333333333,0.5
better,coreutils::O0::head,head_lines,0.75,0.875
better,coreutils::O0::cp,sparse_copy,0.625,0.7083333333333334
better,coreutils::O0::cp,lseek_copy,0.7,0.8
better,coreutils::O0::cp,copy_attr_quote,0.0,0.5
better,coreutils::O0::cp,set_owner,0.6470588235294118,0.7058823529411765
better,coreutils::O0::cp,set_process_security_ctx,0.625,0.75
better,coreutils::O0::cp,overwrite_ok,0.3333333333333333,0.5
better,coreutils::O0::cp,abandon_move,0.16666666666666666,0.3333333333333333
better,coreutils::O0::cp,create_hard_link,0.36363636363636365,0.6363636363636364
better,coreutils::O0::cp,copy_internal,0.6031746031746031,0.6507936507936508
better,coreutils::O0::cp,copy,0.3,0.4
better,coreutils::O0::join,add_file_name,0.7,0.8
better,coreutils::O0::mkdir,announce_mkdir,0.3333333333333333,0.6666666666666666
better,coreutils::O0::mkdir,make_ancestor,0.6666666666666666,0.8333333333333334
better,coreutils::O0::pinky,short_pinky,0.4,0.6
better,coreutils::O0::od,decode_one_format,0.6428571428571429,0.7142857142857143
better,coreutils::O0::ginstall,announce_mkdir,0.3333333333333333,0.6666666666666666
better,coreutils::O0::ginstall,make_ancestor,0.6,0.8
better,coreutils::O0::ginstall,change_timestamps,0.2,0.4
better,coreutils::O0::ginstall,sparse_copy,0.625,0.7083333333333334
better,coreutils::O0::ginstall,lseek_copy,0.7,0.8
better,coreutils::O0::ginstall,copy_attr_quote,0.0,0.5
better,coreutils::O0::ginstall,set_owner,0.6470588235294118,0.7058823529411765
better,coreutils::O0::ginstall,set_process_security_ctx,0.625,0.75
