direction,slice,function,base,test
onto,coreutils::O0::dd,swab_buffer,0.8333333333333334,1.0
onto,coreutils::O0::env,scan_varname,0.5,1.0
onto,coreutils::O0::realpath,path_prefix,0.0,1.0
onto,coreutils::O2::realpath,path_prefix,0.0,1.0
onto,coreutils::O2-noinline::realpath,path_prefix,0.0,1.0
better,coreutils::O0::getlimits,decimal_absval_add_one,0.6,0.8
better,coreutils::O0::printf,print_esc,0.7142857142857143,0.8571428571428571
better,coreutils::O0::stat,make_format,0.7142857142857143,0.8571428571428571
better,coreutils::O2::getlimits,decimal_absval_add_one,0.0,0.2
better,coreutils::O2-noinline::dd,swab_buffer,0.3333333333333333,0.5
better,coreutils::O2-noinline::env,scan_varname,0.0,0.5
better,coreutils::O2-noinline::getlimits,decimal_absval_add_one,0.0,0.2
better,coreutils::O2-noinline::pathchk,component_len,0.0,0.5
better,grep::O0::grep,print_line_tail,0.4,0.8
better,grep::O0::grep,bmexec_trans,0.4666666666666667,0.5333333333333333
better,grep::O0::grep,wordchar_prev,0.2,0.8
better,grep::O2-noinline::grep,print_line_tail,0.25,0.75
better,grep::O2-noinline::grep,prtext,0.0,0.2
better,grep::O2-noinline::grep,wordchar_prev,0.0,0.6
better,grep::O2::grep,wordchar_prev,0.0,0.42857142857142855
