direction,slice,function,base,test
better,coreutils::O0::mkdir,announce_mkdir,0.0,0.3333333333333333
better,coreutils::O0::mkdir,make_ancestor,0.5,0.6666666666666666
better,coreutils::O0::ginstall,announce_mkdir,0.0,0.3333333333333333
better,coreutils::O0::ginstall,make_ancestor,0.4,0.6
better,coreutils::O0::ginstall,process_dir,0.2,0.4
better,coreutils::O0::sort,proctab_hasher,0.3333333333333333,0.6666666666666666
better,coreutils::O0::sort,proctab_comparator,0.0,0.5
better,coreutils::O0::sort,compare_nodes,0.0,0.5
better,coreutils::O0::tail,wd_hasher,0.3333333333333333,0.6666666666666666
better,coreutils::O0::tail,wd_comparator,0.0,0.5
better,coreutils::O2::dir,rev_xstrcoll_df_ctime,0.0,0.3333333333333333
better,coreutils::O2::dir,xstrcoll_df_btime,0.0,0.3333333333333333
better,coreutils::O2::dir,xstrcoll_df_ctime,0.0,0.3333333333333333
better,coreutils::O2::dir,rev_strcmp_df_width,0.0,0.3333333333333333
better,coreutils::O2::dir,rev_xstrcoll_df_btime,0.0,0.3333333333333333
better,coreutils::O2::dir,xstrcoll_df_width,0.0,0.3333333333333333
better,coreutils::O2::dir,strcmp_df_extension,0.0,0.3333333333333333
better,coreutils::O2::dir,rev_xstrcoll_df_extension,0.0,0.3333333333333333
better,coreutils::O2::dir,strcmp_df_width,0.0,0.3333333333333333
better,coreutils::O2::dir,rev_xstrcoll_df_width,0.0,0.3333333333333333
better,coreutils::O2::dir,xstrcoll_df_extension,0.0,0.3333333333333333
better,coreutils::O2::dir,rev_xstrcoll_df_atime,0.0,0.3333333333333333
better,coreutils::O2::dir,rev_strcmp_df_extension,0.0,0.3333333333333333
better,coreutils::O2::dir,rev_xstrcoll_df_mtime,0.0,0.3333333333333333
better,coreutils::O2::dir,xstrcoll_df_atime,0.0,0.3333333333333333
better,coreutils::O2::dir,xstrcoll_df_mtime,0.0,0.3333333333333333
better,coreutils::O2::mkdir,make_ancestor,0.1,0.2
better,coreutils::O2::od,print_long_double,0.26666666666666666,0.3333333333333333
better,coreutils::O2::ls,rev_xstrcoll_df_ctime,0.0,0.3333333333333333
better,coreutils::O2::ls,xstrcoll_df_btime,0.0,0.3333333333333333
better,coreutils::O2::ls,xstrcoll_df_ctime,0.0,0.3333333333333333
better,coreutils::O2::ls,rev_strcmp_df_width,0.0,0.3333333333333333
better,coreutils::O2::ls,rev_xstrcoll_df_btime,0.0,0.3333333333333333
